filepath,filesize,checksum,dataset
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-25__23-52-28(5).JPG,3041046.0,d1f570f4fc0e4fbb843e274c26b4b7af615b115f79e2582267c66381f7dfbe17,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-25__23-53-12(1).JPG,3086110.0,15de829b10296b46baf3a5379e727034f55d8d3292eaa2afe4b8a86c75e43f45,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-25__23-53-13(2).JPG,3079702.0,80cefee19fd941684ab40a1e57e241fa9808f59f0899b8192e43873491c4d008,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-25__23-53-13(3).JPG,3076216.0,0695fe6f9b48178bbe6e5da5fa8fa3052f44103738f957b21ee59bdf123c23a9,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-25__23-53-14(4).JPG,3076524.0,6645b0a9c455a8d462906eca56638dd947471fbd906dd843302595f2f6d1cc0e,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-25__23-53-14(5).JPG,3071887.0,51a45985c1d85fdf3b7bed6a33a997454667476c6dd6373e308afbd737028799,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-26__03-11-52(1).JPG,3050703.0,3ba9dd98965196b9b728c11366e4b9795f2451e583896bc15f9f8a9e8107ddb5,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-26__03-11-52(2).JPG,3050718.0,48c797d97544685f3539d863b025c252c255759def3339f5ee43507573810cbd,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-26__03-11-52(3).JPG,3064792.0,5b912cb98cd4cec6b59dc231e7d4213111b604a6301ca127105538aa153e0995,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-26__03-11-53(4).JPG,3052923.0,2d5986f9d5f9a286e2489bb446e8e7c02cf0f550ad53083c24ff8e99ffc02c4a,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-26__03-11-53(5).JPG,3050945.0,bc2b21b1cb6e895b23495207fdcf1a1faea04ccafbbfdf139e18987a5f0524c9,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-26__03-12-41(1).JPG,3052865.0,3e01ae504b17cab306fa505c72969383fc086107557f4996dec28e465ddcce27,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-26__03-12-41(2).JPG,3068672.0,06af6f7d30c6cdbf4628eb289e85ce596bb88f02205855638f505350ffdc443c,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-26__03-12-42(3).JPG,3054351.0,84309ed2fc94cc77dc97af0b6c5ca52dd3bc35840b51b17a1c67285922361f7a,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-26__03-12-42(4).JPG,3052529.0,b51a9a5fd4f80cbcb851c636b7067f76d063e6df063e4db8714d8569bca857d9,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-26__03-12-43(5).JPG,3055818.0,0b8e6ea932faf606a1e35f78c41bdc2b41d05b8c558db936004738192fb2f712,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-30__23-06-02(1).JPG,228244.0,e8698371d2e6193235f53e5f66a3dfd2bc8a298f98338c67ff0a2735f154bf68,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-30__23-06-02(2).JPG,227961.0,91db6c4184f42e6cd22c80dbf4df73ccf4eca6526374de1e11d014cd2b32f714,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-30__23-06-03(3).JPG,228287.0,2a4cca78bc2b9d9e1ffcff357673643012039e3c81f1cf02945d459b8be670d3,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-30__23-06-04(4).JPG,228705.0,bf4e05796fe78768868dbcbc1832a3a68113754082e53ac7d23a69072833c68d,wolf
